fname,cycle,sound event,"sample number (sampling rate = 44,100 Hz",time (s),
set_a/normal__201102081321.wav,1,S1,10021.00,0.22723356,
set_a/normal__201102081321.wav,1,S2,20759.00,0.470725624,
set_a/normal__201102081321.wav,2,S1,35075.00,0.795351474,
set_a/normal__201102081321.wav,2,S2,47244.00,1.071292517,
set_a/normal__201102081321.wav,3,S1,62992.00,1.428390023,
set_a/normal__201102081321.wav,3,S2,73729.00,1.67185941,
set_a/normal__201102081321.wav,4,S1,88761.00,2.012721088,
set_a/normal__201102081321.wav,4,S2,101646.00,2.304897959,
set_a/normal__201102081321.wav,5,S1,115246.00,2.613287982,
set_a/normal__201102081321.wav,5,S2,127415.00,2.889229025,
set_a/normal__201102081321.wav,6,S1,143163.00,3.246326531,
set_a/normal__201102081321.wav,6,S2,153900.00,3.489795918,
set_a/normal__201102081321.wav,7,S1,168216.00,3.814421769,
set_a/normal__201102081321.wav,7,S2,180385.00,4.090362812,
set_a/normal__201102081321.wav,8,S1,195417.00,4.43122449,
set_a/normal__201102081321.wav,8,S2,206155.00,4.674716553,
set_a/normal__201102081321.wav,9,S1,220471.00,4.999342404,
set_a/normal__201102081321.wav,9,S2,231924.00,5.259047619,
set_a/normal__201102081321.wav,10,S1,272010.00,6.168027211,
set_a/normal__201102081321.wav,10,S2,283463.00,6.427732426,
set_a/normal__201102081321.wav,11,S1,297779.00,6.752358277,
set_a/normal__201102081321.wav,11,S2,309232.00,7.012063492,
set_a/normal__201102081321.wav,12,S1,324264.00,7.35292517,
set_a/normal__201102081321.wav,12,S2,335001.00,7.596394558,
set_a/normal__201102260502.wav,1,S1,11526.00,0.261360544,
set_a/normal__201102260502.wav,1,S2,27941.00,0.633582766,
set_a/normal__201102260502.wav,2,S1,42197.00,0.956848073,
set_a/normal__201102260502.wav,2,S2,58163.00,1.318888889,
set_a/normal__201102260502.wav,3,S1,71278.00,1.616281179,
set_a/normal__201102260502.wav,3,S2,88955.00,2.017120181,
set_a/normal__201102260502.wav,4,S1,102641.00,2.327460317,
set_a/normal__201102260502.wav,4,S2,122028.00,2.76707483,
set_a/normal__201102260502.wav,5,S1,134573.00,3.05154195,
set_a/normal__201102260502.wav,5,S2,152821.00,3.465328798,
set_a/normal__201102260502.wav,6,S1,184753.00,4.189410431,
set_a/normal__201102260502.wav,6,S2,197869.00,4.486825397,
set_a/normal__201102260502.wav,7,S1,216686.00,4.913514739,
set_a/normal__201102260502.wav,7,S2,230942.00,5.236780045,
set_a/normal__201102260502.wav,8,S1,251211.00,5.696394558,
set_a/normal__201102260502.wav,8,S2,265168.00,6.012879819,
set_a/normal__201103090635.wav,1,S1,5366.00,0.121678005,
set_a/normal__201103090635.wav,1,S2,17632.00,0.399818594,
set_a/normal__201103090635.wav,2,S1,31432.00,0.712743764,
set_a/normal__201103090635.wav,2,S2,44464.00,1.008253968,
set_a/normal__201103090635.wav,3,S1,59030.00,1.338548753,
set_a/normal__201103090635.wav,3,S2,71296.00,1.616689342,
set_a/normal__201103090635.wav,4,S1,86629.00,1.964376417,
set_a/normal__201103090635.wav,4,S2,99661.00,2.259886621,
set_a/normal__201103090635.wav,5,S1,116527.00,2.642335601,
set_a/normal__201103090635.wav,5,S2,128793.00,2.92047619,
set_a/normal__201103090635.wav,6,S1,144125.00,3.26814059,
set_a/normal__201103090635.wav,6,S2,156391.00,3.546281179,
set_a/normal__201103090635.wav,7,S1,174024.00,3.946122449,
set_a/normal__201103090635.wav,7,S2,185523.00,4.206870748,
set_a/normal__201103090635.wav,8,S1,200856.00,4.554557823,
set_a/normal__201103090635.wav,8,S2,213122.00,4.832698413,
set_a/normal__201103090635.wav,9,S1,226154.00,5.128208617,
set_a/normal__201103090635.wav,9,S2,239187.00,5.423741497,
set_a/normal__201103090635.wav,10,S1,252220.00,5.719274376,
set_a/normal__201103090635.wav,10,S2,265252.00,6.01478458,
set_a/normal__201103090635.wav,11,S1,277518.00,6.29292517,
set_a/normal__201103090635.wav,11,S2,290551.00,6.58845805,
set_a/normal__201103090635.wav,12,S1,303583.00,6.883968254,
set_a/normal__201103090635.wav,12,S2,315849.00,7.162108844,
set_a/normal__201103090635.wav,13,S1,329649.00,7.475034014,
set_a/normal__201103090635.wav,13,S2,342681.00,7.770544218,
set_a/normal__201103140132.wav,1,S1,16358.00,0.370929705,
set_a/normal__201103140132.wav,1,S2,29272.00,0.663764172,
set_a/normal__201103140132.wav,2,S1,89539.00,2.030362812,
set_a/normal__201103140132.wav,2,S2,105036.00,2.381768707,
set_a/normal__201103140132.wav,3,S1,128282.00,2.908888889,
set_a/normal__201103140132.wav,3,S2,142057.00,3.221247166,
set_a/normal__201103140132.wav,4,S1,170469.00,3.865510204,
set_a/normal__201103140132.wav,4,S2,183383.00,4.158344671,
set_a/normal__201103140132.wav,5,S1,207490.00,4.704988662,
set_a/normal__201103140132.wav,5,S2,221265.00,5.017346939,
set_a/normal__201103140132.wav,6,S1,242789.00,5.505419501,
set_a/normal__201103140132.wav,6,S2,256564.00,5.817777778,
set_a/normal__201103140132.wav,7,S1,279810.00,6.344897959,
set_a/normal__201103140132.wav,7,S2,292725.00,6.637755102,
set_a/normal__201103140132.wav,8,S1,320275.00,7.262471655,
set_a/normal__201103140132.wav,8,S2,334911.00,7.594353741,
set_a/normal__201103140132.wav,9,S1,363323.00,8.23861678,
set_a/normal__201103140132.wav,9,S2,377098.00,8.550975057,
set_a/normal__201103140822.wav,1,S1,3444.00,0.078095238,
set_a/normal__201103140822.wav,1,S2,18080.00,0.409977324,
set_a/normal__201103140822.wav,2,S1,44770.00,1.015192744,
set_a/normal__201103140822.wav,2,S2,58545.00,1.32755102,
set_a/normal__201103140822.wav,3,S1,84374.00,1.91324263,
set_a/normal__201103140822.wav,3,S2,98149.00,2.225600907,
set_a/normal__201103140822.wav,4,S1,123977.00,2.811269841,
set_a/normal__201103140822.wav,4,S2,134309.00,3.045555556,
set_a/normal__201103140822.wav,5,S1,157555.00,3.572675737,
set_a/normal__201103140822.wav,5,S2,175635.00,3.982653061,
set_a/normal__201103140822.wav,6,S1,195437.00,4.431678005,
set_a/normal__201103140822.wav,6,S2,214378.00,4.861179138,
set_a/normal__201103151912.wav,1,S1,3244.00,0.073560091,
set_a/normal__201103151912.wav,1,S2,12053.00,0.273310658,
set_a/normal__201103151912.wav,2,S1,25829.00,0.58569161,
set_a/normal__201103151912.wav,2,S2,61128.00,1.386122449,
set_a/normal__201103151912.wav,3,S1,79208.00,1.796099773,
set_a/normal__201103151912.wav,3,S2,96427.00,2.186553288,
set_a/normal__201103151912.wav,4,S1,117090.00,2.655102041,
set_a/normal__201103151912.wav,4,S2,133448.00,3.026031746,
set_a/normal__201103151912.wav,5,S1,152389.00,3.45553288,
set_a/normal__201103151912.wav,5,S2,167886.00,3.806938776,
set_a/normal__201103151912.wav,6,S1,202324.00,4.587845805,
set_a/normal__201103151912.wav,6,S2,222987.00,5.056394558,
set_a/normal__201103221214.wav,1,S1,27831.00,0.631088435,
set_a/normal__201103221214.wav,1,S2,39095.00,0.886507937,
set_a/normal__201103221214.wav,2,S1,54667.00,1.239614512,
set_a/normal__201103221214.wav,2,S2,65601.00,1.48755102,
set_a/normal__201103221214.wav,3,S1,81173.00,1.840657596,
set_a/normal__201103221214.wav,3,S2,92769.00,2.103605442,
set_a/normal__201103221214.wav,4,S1,108341.00,2.456712018,
set_a/normal__201103221214.wav,4,S2,119605.00,2.712131519,
set_a/normal__201103221214.wav,5,S1,135509.00,3.07276644,
set_a/normal__201103221214.wav,5,S2,146442.00,3.320680272,
set_a/normal__201104141251.wav,1,S1,21189.00,0.48047619,
set_a/normal__201104141251.wav,1,S2,32879.00,0.745555556,
set_a/normal__201104141251.wav,2,S1,51876.00,1.176326531,
set_a/normal__201104141251.wav,2,S2,64297.00,1.457981859,
set_a/normal__201104141251.wav,3,S1,83294.00,1.888752834,
set_a/normal__201104141251.wav,3,S2,96446.00,2.186984127,
set_a/normal__201104141251.wav,4,S1,116904.00,2.650884354,
set_a/normal__201104141251.wav,4,S2,129326.00,2.932562358,
set_a/normal__201104141251.wav,5,S1,149053.00,3.379886621,
set_a/normal__201104141251.wav,5,S2,162205.00,3.678117914,
set_a/normal__201104141251.wav,6,S1,180471.00,4.092312925,
set_a/normal__201104141251.wav,6,S2,192623.00,4.367868481,
set_a/normal__201104141251.wav,7,S1,211889.00,4.804739229,
set_a/normal__201104141251.wav,7,S2,225041.00,5.102970522,
set_a/normal__201104141251.wav,8,S1,245499.00,5.566870748,
set_a/normal__201104141251.wav,8,S2,257920.00,5.848526077,
set_a/normal__201104141251.wav,9,S1,279109.00,6.329002268,
set_a/normal__201104141251.wav,9,S2,290800.00,6.594104308,
set_a/normal__201105011626.wav,1,S1,2855.00,0.064739229,
set_a/normal__201105011626.wav,1,S2,15497.00,0.351405896,
set_a/normal__201105011626.wav,2,S1,23246.00,0.527120181,
set_a/normal__201105011626.wav,2,S2,35299.00,0.800430839,
set_a/normal__201105011626.wav,3,S1,43048.00,0.976145125,
set_a/normal__201105011626.wav,3,S2,55962.00,1.268979592,
set_a/normal__201105011626.wav,4,S1,63711.00,1.444693878,
set_a/normal__201105011626.wav,4,S2,75764.00,1.718004535,
set_a/normal__201105011626.wav,5,S1,84374.00,1.91324263,
set_a/normal__201105011626.wav,5,S2,96427.00,2.186553288,
set_a/normal__201105011626.wav,6,S1,105036.00,2.381768707,
set_a/normal__201105011626.wav,6,S2,116229.00,2.635578231,
set_a/normal__201105011626.wav,7,S1,124838.00,2.830793651,
set_a/normal__201105011626.wav,7,S2,136031.00,3.084603175,
set_a/normal__201105011626.wav,8,S1,143779.00,3.260294785,
set_a/normal__201105011626.wav,8,S2,164899.00,3.739206349,
set_a/normal__201105011626.wav,9,S1,155833.00,3.533628118,
set_a/normal__201105011626.wav,9,S2,177357.00,4.02170068,
set_a/normal__201105011626.wav,10,S1,184244.00,4.177868481,
set_a/normal__201105011626.wav,10,S2,196298.00,4.451201814,
set_a/normal__201105011626.wav,11,S1,205768.00,4.665941043,
set_a/normal__201105011626.wav,11,S2,216100.00,4.900226757,
set_a/normal__201105011626.wav,12,S1,224709.00,5.095442177,
set_a/normal__201105011626.wav,12,S2,237623.00,5.388276644,
set_a/normal__201105011626.wav,13,S1,245372.00,5.56399093,
set_a/normal__201105011626.wav,13,S2,257425.00,5.837301587,
set_a/normal__201105011626.wav,14,S1,266035.00,6.032539683,
set_a/normal__201105011626.wav,14,S2,278949.00,6.32537415,
set_a/normal__201105011626.wav,15,S1,287559.00,6.520612245,
set_a/normal__201105011626.wav,15,S2,302195.00,6.852494331,
set_a/normal__201105011626.wav,16,S1,307361.00,6.969637188,
set_a/normal__201105011626.wav,16,S2,321136.00,7.281995465,
set_a/normal__201105011626.wav,17,S1,328885.00,7.457709751,
set_a/normal__201105011626.wav,17,S2,338355.00,7.67244898,
set_a/normal__201105011626.wav,18,S1,347826.00,7.887210884,
set_a/normal__201105011626.wav,18,S2,360740.00,8.180045351,
set_a/normal__201105011626.wav,19,S1,381403.00,8.648594104,
set_a/normal__201105011626.wav,19,S2,389151.00,8.824285714,
set_a/normal__201105021654.wav,1,S1,24481.00,0.555124717,
set_a/normal__201105021654.wav,1,S2,39781.00,0.902063492,
set_a/normal__201105021654.wav,2,S1,79563.00,1.80414966,
set_a/normal__201105021654.wav,2,S2,94863.00,2.151088435,
set_a/normal__201105021654.wav,3,S1,126229.00,2.862335601,
set_a/normal__201105021654.wav,3,S2,140765.00,3.191950113,
set_a/normal__201105021654.wav,4,S1,169836.00,3.851156463,
set_a/normal__201105021654.wav,4,S2,185136.00,4.198095238,
set_a/normal__201105021654.wav,5,S1,215737.00,4.891995465,
set_a/normal__201105021654.wav,5,S2,230273.00,5.221609977,
set_a/normal__201105021654.wav,6,S1,270054.00,6.123673469,
set_a/normal__201105021654.wav,6,S2,284590.00,6.453287982,
set_a/normal__201105021654.wav,7,S1,327431.00,7.424739229,
set_a/normal__201105021654.wav,7,S2,342732.00,7.77170068,
set_a/normal__201105021804.wav,1,S1,24107.00,0.546643991,
set_a/normal__201105021804.wav,1,S2,35299.00,0.800430839,
set_a/normal__201105021804.wav,2,S1,50796.00,1.151836735,
set_a/normal__201105021804.wav,2,S2,61128.00,1.386122449,
set_a/normal__201105021804.wav,3,S1,75764.00,1.718004535,
set_a/normal__201105021804.wav,3,S2,86095.00,1.952267574,
set_a/normal__201105021804.wav,4,S1,101593.00,2.303696145,
set_a/normal__201105021804.wav,4,S2,112785.00,2.557482993,
set_a/normal__201105021804.wav,5,S1,128282.00,2.908888889,
set_a/normal__201105021804.wav,5,S2,139475.00,3.162698413,
set_a/normal__201105021804.wav,6,S1,154972.00,3.514104308,
set_a/normal__201105021804.wav,6,S2,165303.00,3.748367347,
set_a/normal__201105021804.wav,7,S1,180800.00,4.099773243,
set_a/normal__201105021804.wav,7,S2,190271.00,4.314535147,
set_a/normal__201105021804.wav,8,S1,204907.00,4.646417234,
set_a/normal__201105021804.wav,8,S2,216961.00,4.919750567,
set_a/normal__201105021804.wav,9,S1,229875.00,5.212585034,
set_a/normal__201105021804.wav,9,S2,240206.00,5.446848073,
set_a/normal__201105021804.wav,10,S1,254843.00,5.778752834,
set_a/normal__201105021804.wav,10,S2,265174.00,6.013015873,
set_a/normal__201105021804.wav,11,S1,281532.00,6.383945578,
set_a/normal__201105021804.wav,11,S2,291003.00,6.598707483,
set_a/normal__201105021804.wav,12,S1,306500.00,6.950113379,
set_a/normal__201105021804.wav,12,S2,315970.00,7.164852608,
set_a/normal__201105021804.wav,13,S1,331467.00,7.516258503,
set_a/normal__201105021804.wav,13,S2,341799.00,7.750544218,
set_a/normal__201105021804.wav,14,S1,356435.00,8.082426304,
set_a/normal__201105021804.wav,14,S2,368489.00,8.355759637,
set_a/normal__201105021804.wav,15,S1,382264.00,8.668117914,
set_a/normal__201105021804.wav,15,S2,390873.00,8.863333333,
set_a/normal__201105151450.wav,1,S1,26679.00,0.604965986,
set_a/normal__201105151450.wav,1,S2,40379.00,0.915623583,
set_a/normal__201105151450.wav,2,S1,56964.00,1.29170068,
set_a/normal__201105151450.wav,2,S2,71385.00,1.618707483,
set_a/normal__201105151450.wav,3,S1,90853.00,2.06015873,
set_a/normal__201105151450.wav,3,S2,105275.00,2.387188209,
set_a/normal__201105151450.wav,4,S1,124743.00,2.828639456,
set_a/normal__201105151450.wav,4,S2,138443.00,3.139297052,
set_a/normal__201105151450.wav,5,S1,157912.00,3.580770975,
set_a/normal__201105151450.wav,5,S2,171612.00,3.891428571,
set_a/normal__201105151450.wav,6,S1,193965.00,4.39829932,
set_a/normal__201105151450.wav,6,S2,206223.00,4.676258503,
set_a/normal__201105151450.wav,7,S1,227855.00,5.166780045,
set_a/normal__201105151450.wav,7,S2,242276.00,5.493786848,
set_a/normal__201105151450.wav,8,S1,263907.00,5.984285714,
set_a/normal__201105151450.wav,8,S2,278003.00,6.303922902,
set_a/normal__201105151450.wav,9,S1,299239.00,6.785464853,
set_a/normal__201105151450.wav,9,S2,313660.00,7.112471655,
set_a/normal__201106111136.wav,1,S1,19943.00,0.452222222,
set_a/normal__201106111136.wav,1,S2,33239.00,0.753718821,
set_a/normal__201106111136.wav,2,S1,56506.00,1.281315193,
set_a/normal__201106111136.wav,2,S2,66953.00,1.518208617,
set_a/normal__201106111136.wav,3,S1,87846.00,1.991972789,
set_a/normal__201106111136.wav,3,S2,101142.00,2.293469388,
set_a/normal__201106111136.wav,4,S1,122510.00,2.778004535,
set_a/normal__201106111136.wav,4,S2,136280.00,3.090249433,
set_a/normal__201106111136.wav,5,S1,159073.00,3.607097506,
set_a/normal__201106111136.wav,5,S2,169044.00,3.833197279,
set_a/normal__201106111136.wav,6,S1,189938.00,4.306984127,
set_a/normal__201106111136.wav,6,S2,201809.00,4.5761678,
set_a/normal__201106141148.wav,1,S1,21449.00,0.486371882,
set_a/normal__201106141148.wav,1,S2,31349.00,0.710861678,
set_a/normal__201106141148.wav,2,S1,47849.00,1.085011338,
set_a/normal__201106141148.wav,2,S2,58299.00,1.321972789,
set_a/normal__201106141148.wav,3,S1,73698.00,1.671156463,
set_a/normal__201106141148.wav,3,S2,84698.00,1.920589569,
set_a/normal__201106141148.wav,4,S1,100648.00,2.282267574,
set_a/normal__201106141148.wav,4,S2,112197.00,2.54414966,
set_a/normal__201106141148.wav,5,S1,128147.00,2.905827664,
set_a/normal__201106141148.wav,5,S2,138047.00,3.13031746,
set_a/normal__201106141148.wav,6,S1,154546.00,3.504444444,
set_a/normal__201106141148.wav,6,S2,165546.00,3.753877551,
set_a/normal__201106141148.wav,7,S1,181496.00,4.115555556,
set_a/normal__201106141148.wav,7,S2,191395.00,4.340022676,
set_a/normal__201106141148.wav,8,S1,208995.00,4.739115646,
set_a/normal__201106141148.wav,8,S2,218345.00,4.951133787,
set_a/normal__201106210943.wav,1,S1,5036.00,0.114195011,
set_a/normal__201106210943.wav,1,S2,18466.00,0.418730159,
set_a/normal__201106210943.wav,2,S1,40290.00,0.913605442,
set_a/normal__201106210943.wav,2,S2,54839.00,1.243514739,
set_a/normal__201106210943.wav,3,S1,73305.00,1.662244898,
set_a/normal__201106210943.wav,3,S2,86735.00,1.966780045,
set_a/normal__201106210943.wav,4,S1,106320.00,2.410884354,
set_a/normal__201106210943.wav,4,S2,120310.00,2.728117914,
set_a/normal__201106210943.wav,5,S1,141574.00,3.210294785,
set_a/normal__201106210943.wav,5,S2,155004.00,3.514829932,
set_a/normal__201106210943.wav,6,S1,172351.00,3.908185941,
set_a/normal__201106210943.wav,6,S2,186341.00,4.225419501,
set_a/normal__201106210943.wav,7,S1,207045.00,4.694897959,
set_a/normal__201106210943.wav,7,S2,220475.00,4.999433107,
set_a/normal__201106221418.wav,1,S1,26126.00,0.592426304,
set_a/normal__201106221418.wav,1,S2,40194.00,0.911428571,
set_a/normal__201106221418.wav,2,S1,60291.00,1.367142857,
set_a/normal__201106221418.wav,2,S2,72349.00,1.640566893,
set_a/normal__201106221418.wav,3,S1,93116.00,2.111473923,
set_a/normal__201106221418.wav,3,S2,105844.00,2.400090703,
set_a/normal__201106221418.wav,4,S1,123261.00,2.795034014,
set_a/normal__201106221418.wav,4,S2,138669.00,3.144421769,
set_a/normal__201106221418.wav,5,S1,155416.00,3.524172336,
set_a/normal__201106221418.wav,5,S2,170154.00,3.858367347,
set_a/normal__201106221418.wav,6,S1,191591.00,4.34446712,
set_a/normal__201106221418.wav,6,S2,204319.00,4.6330839,
set_a/normal__201106221418.wav,7,S1,224416.00,5.088798186,
set_a/normal__201106221418.wav,7,S2,238484.00,5.407800454,
set_a/normal__201106221418.wav,8,S1,262600.00,5.954648526,
set_a/normal__201106221418.wav,8,S2,275328.00,6.243265306,
set_a/normal__201106221450.wav,1,S1,2583.00,0.058571429,
set_a/normal__201106221450.wav,1,S2,16358.00,0.370929705,
set_a/normal__201106221450.wav,2,S1,38743.00,0.878526077,
set_a/normal__201106221450.wav,2,S2,54240.00,1.229931973,
set_a/normal__201106221450.wav,3,S1,74903.00,1.698480726,
set_a/normal__201106221450.wav,3,S2,89539.00,2.030362812,
set_a/normal__201106221450.wav,4,S1,111063.00,2.518435374,
set_a/normal__201106221450.wav,4,S2,124838.00,2.830793651,
set_a/normal__201106221450.wav,5,S1,147223.00,3.338390023,
set_a/normal__201106221450.wav,5,S2,160998.00,3.650748299,
set_a/normal__201106221450.wav,6,S1,184244.00,4.177868481,
set_a/normal__201106221450.wav,6,S2,198880.00,4.509750567,
set_a/normal__201106221450.wav,7,S1,221265.00,5.017346939,
set_a/normal__201106221450.wav,7,S2,236762.00,5.368752834,
set_a/normal__201106221450.wav,8,S1,258286.00,5.856825397,
set_a/normal__201106221450.wav,8,S2,273784.00,6.208253968,
set_a/normal__201106221450.wav,9,S1,296168.00,6.715827664,
set_a/normal__201106221450.wav,9,S2,309944.00,7.028208617,
set_a/normal__201106221450.wav,10,S1,331467.00,7.516258503,
set_a/normal__201106221450.wav,10,S2,345243.00,7.828639456,
set_a/normal__201106221450.wav,11,S1,366767.00,8.316712018,
set_a/normal__201106221450.wav,11,S2,380542.00,8.629070295,
set_a/normal__201108011112.wav,1,S1,25810.00,0.585260771,
set_a/normal__201108011112.wav,1,S2,40993.00,0.929546485,
set_a/normal__201108011112.wav,2,S1,63008.00,1.428752834,
set_a/normal__201108011112.wav,2,S2,76672.00,1.738594104,
set_a/normal__201108011112.wav,3,S1,98687.00,2.237800454,
set_a/normal__201108011112.wav,3,S2,113110.00,2.564852608,
set_a/normal__201108011112.wav,4,S1,135125.00,3.064058957,
set_a/normal__201108011112.wav,4,S2,149548.00,3.391111111,
set_a/normal__201108011112.wav,5,S1,170804.00,3.873106576,
set_a/normal__201108011112.wav,5,S2,185227.00,4.20015873,
set_a/normal__201108011112.wav,6,S1,207242.00,4.699365079,
set_a/normal__201108011112.wav,6,S2,221665.00,5.026417234,
set_a/normal__201108011112.wav,7,S1,244439.00,5.542834467,
set_a/normal__201108011112.wav,7,S2,258104.00,5.852698413,
set_a/normal__201108011112.wav,8,S1,279359.00,6.334671202,
set_a/normal__201108011112.wav,8,S2,293783.00,6.661746032,
set_a/normal__201108011112.wav,9,S1,315797.00,7.160929705,
set_a/normal__201108011112.wav,9,S2,330221.00,7.488004535,
set_a/normal__201108011114.wav,1,S1,22774.00,0.516417234,
set_a/normal__201108011114.wav,1,S2,37197.00,0.843469388,
set_a/normal__201108011114.wav,2,S1,67562.00,1.532018141,
set_a/normal__201108011114.wav,2,S2,81986.00,1.859092971,
set_a/normal__201108011114.wav,3,S1,112351.00,2.547641723,
set_a/normal__201108011114.wav,3,S2,127534.00,2.891927438,
set_a/normal__201108011114.wav,4,S1,157899.00,3.58047619,
set_a/normal__201108011114.wav,4,S2,172322.00,3.907528345,
set_a/normal__201108011114.wav,5,S1,202687.00,4.596077098,
set_a/normal__201108011114.wav,5,S2,217870.00,4.940362812,
set_a/normal__201108011114.wav,6,S1,247476.00,5.61170068,
set_a/normal__201108011114.wav,6,S2,263417.00,5.973174603,
set_a/normal__201108011114.wav,7,S1,292264.00,6.627301587,
set_a/normal__201108011114.wav,7,S2,308206.00,6.988798186,
set_a/normal__201108011115.wav,1,S1,23533.00,0.533628118,
set_a/normal__201108011115.wav,1,S2,37197.00,0.843469388,
set_a/normal__201108011115.wav,2,S1,59212.00,1.342675737,
set_a/normal__201108011115.wav,2,S2,73635.00,1.669727891,
set_a/normal__201108011115.wav,3,S1,95650.00,2.16893424,
set_a/normal__201108011115.wav,3,S2,110074.00,2.49600907,
set_a/normal__201108011115.wav,4,S1,132088.00,2.995192744,
set_a/normal__201108011115.wav,4,S2,146512.00,3.322267574,
set_a/normal__201108011115.wav,5,S1,168526.00,3.821451247,
set_a/normal__201108011115.wav,5,S2,182191.00,4.131315193,
set_a/normal__201108011115.wav,6,S1,204205.00,4.630498866,
set_a/normal__201108011115.wav,6,S2,217870.00,4.940362812,
set_a/normal__201108011115.wav,7,S1,239884.00,5.439546485,
set_a/normal__201108011115.wav,7,S2,254308.00,5.766621315,
set_a/normal__201108011115.wav,8,S1,276323.00,6.265827664,
set_a/normal__201108011115.wav,8,S2,290746.00,6.592879819,
set_a/normal__201108011115.wav,9,S1,312761.00,7.092086168,
set_a/normal__201108011115.wav,9,S2,326425.00,7.401927438,
set_a/normal__201108011118.wav,1,S1,7591.00,0.172131519,
set_a/normal__201108011118.wav,1,S2,20496.00,0.464761905,
set_a/normal__201108011118.wav,2,S1,37197.00,0.843469388,
set_a/normal__201108011118.wav,2,S2,50862.00,1.153333333,
set_a/normal__201108011118.wav,3,S1,66803.00,1.514807256,
set_a/normal__201108011118.wav,3,S2,78949.00,1.790226757,
set_a/normal__201108011118.wav,4,S1,95650.00,2.16893424,
set_a/normal__201108011118.wav,4,S2,107796.00,2.444353741,
set_a/normal__201108011118.wav,5,S1,124497.00,2.823061224,
set_a/normal__201108011118.wav,5,S2,138161.00,3.132902494,
set_a/normal__201108011118.wav,6,S1,154862.00,3.511609977,
set_a/normal__201108011118.wav,6,S2,167008.00,3.787029478,
set_a/normal__201108011118.wav,7,S1,183709.00,4.165736961,
set_a/normal__201108011118.wav,7,S2,196614.00,4.458367347,
set_a/normal__201108011118.wav,8,S1,213315.00,4.83707483,
set_a/normal__201108011118.wav,8,S2,226220.00,5.129705215,
set_a/normal__201108011118.wav,9,S1,241403.00,5.47399093,
set_a/normal__201108011118.wav,9,S2,255826.00,5.801043084,
set_a/normal__201108011118.wav,10,S1,272527.00,6.179750567,
set_a/normal__201108011118.wav,10,S2,284673.00,6.455170068,
set_a/normal__201108011118.wav,11,S1,300863.00,6.822290249,
set_a/normal__201108011118.wav,11,S2,314279.00,7.126507937,
set_a/normal__201108011118.wav,12,S1,330980.00,7.50521542,
set_a/normal__201108011118.wav,12,S2,343126.00,7.780634921,