filepath,zcr,rms,centroid,bandwidth,rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
c:\Users\vivek\OneDrive\Documents\Data\normal\201101070538.wav,0.18155138299608356,0.004102082,5705.173733927075,5991.055851654683,12808.235953308584,-517.85095,78.000626,6.724427,20.219566,12.611445,10.331914,9.041118,5.9323034,4.9546447,3.5393074,1.7340084,1.6976204,-0.2738883,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201101151127.wav,0.008377547116623712,0.0721006,1457.4982416022403,3446.152993702686,2631.296374134182,-399.89368,103.69925,13.686877,30.54401,34.486885,22.256563,22.552654,19.073563,14.510034,14.292038,13.480966,16.522688,14.222857,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201102081152.wav,0.10260802429991883,0.0071495664,3714.7031574776342,5059.911067338855,9044.539572975853,-411.21912,123.23993,13.402808,22.533443,-4.545311,13.262003,5.5122814,7.3974886,8.976462,-2.842521,11.16048,4.3061585,7.1386275,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201102081321.wav,0.043660242417279414,0.011672025,2675.956226458617,4385.221851000562,5537.611514820772,-380.94397,145.17091,0.9727643,12.781049,1.942753,12.974989,14.231959,4.44404,4.8499765,1.5621415,6.592687,4.1761336,0.9354063,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201102201230.wav,0.22838600394652062,0.0020620786,6351.989253967518,6156.645818478797,13917.6639517558,-567.4604,68.22499,2.7092695,14.316681,7.836335,8.336783,4.343187,5.546527,6.2126846,1.0630718,3.1065037,-0.68834484,0.9736015,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201102260502.wav,0.17980911986854242,0.0043815235,3918.417010920724,5969.535154983764,10045.358445283671,-596.28906,120.040535,28.134289,28.43375,34.78845,7.191467,24.777647,-1.2345337,15.882699,-1.6929156,8.037136,-1.7958957,2.0674496,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201102270940.wav,0.17188884302512886,0.0022936861,5322.395485185081,6036.5287083836065,11708.901191003544,-520.629,91.86778,-11.729457,11.019314,5.681396,-4.2001867,1.9758235,-8.836825,-0.9783904,-7.7256703,-1.9742504,-5.6831307,-1.7964191,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201103090635.wav,0.1799673254341534,0.0064849523,5133.632980198358,5637.296415178776,11209.824063291426,-536.251,82.71861,4.775408,24.483425,11.78008,11.939452,10.269104,6.2041354,8.454742,2.1362123,7.135506,0.9013997,4.6208916,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201103101140.wav,0.1433250191285438,0.039066173,3300.1513247773105,4601.8463746079315,7410.085776417526,-484.49448,27.7873,25.502222,22.996243,20.630323,18.439594,16.330456,14.38339,12.705113,11.291031,10.058508,8.988549,8.110343,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201103140132.wav,0.29183047579735827,0.0025234441,5965.412321719154,6565.794366690071,14586.192211662372,-616.4261,81.087204,12.327299,7.8412294,13.82815,1.8035902,9.369999,4.881464,4.9216065,2.1068172,2.7679267,-2.6439188,-0.15721485,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201103140135.wav,0.2683907390510949,0.0034550608,5182.254918589369,6486.20040151729,13111.268747148722,-576.4376,96.39936,28.279396,3.310541,8.912554,6.452471,8.368431,5.7060385,3.158512,-1.251814,-0.10609466,-2.8890674,-0.71479726,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201103140822.wav,0.03221313653219971,0.035562214,1809.1952092925742,3711.8622333237377,2964.2588724448265,-387.26135,152.52327,39.2229,1.9184633,8.930493,11.266167,12.301266,10.544382,5.0641336,2.042671,0.6789166,-0.9936331,-0.3361218,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201103151912.wav,0.06253838293331186,0.009103108,3306.7497864671354,5185.723138254324,7011.9435103898195,-460.09744,123.03904,4.7246847,37.098583,21.085238,16.310238,18.206293,0.9756465,12.165386,-1.9808817,9.728104,-5.5439525,2.8819866,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201103170121.wav,0.25239271924674855,0.0140965525,6256.698246308387,6200.21376932755,14031.153402163114,-532.7327,41.8584,19.42001,13.994753,13.489591,10.861273,9.233021,10.960892,8.65145,2.3836634,-0.68212456,-0.4738867,-0.69190544,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201103221214.wav,0.2334376306438127,0.001279413,5736.328052105407,6536.764750414617,14558.749869356187,-612.333,112.64044,18.757671,-10.94573,10.22214,-1.1831408,13.439241,-6.0533338,9.405375,-0.62832147,8.557546,0.37455195,1.3624305,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201104122156.wav,0.053269848381121136,0.01260959,2064.6775189632817,3988.066655722266,3543.599362717461,-460.91864,148.9308,26.626696,7.0509505,13.002596,8.904231,11.803645,7.151643,4.401118,5.9789186,5.2444944,1.6700268,-1.2048534,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201104141251.wav,0.2512088300246961,0.0027604157,5796.529299330121,6521.1297700247715,14423.122714428191,-598.5853,92.635315,1.2116741,16.03552,22.072462,-0.15095116,18.201181,-2.9057298,11.717262,-3.0269394,6.3220987,-2.4508138,1.698412,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201105011626.wav,0.03101907317171392,0.023307001,1913.579163736431,3870.524510273788,3074.253231717139,-405.204,169.60684,18.553572,12.722707,-0.06330573,5.6170883,19.657675,5.226336,6.9943886,-6.8304577,0.13339937,-3.2083325,3.9285328,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201105021654.wav,0.07284886951197388,0.020158967,4217.435429706093,5221.443696191708,9675.94013629354,-349.0096,91.52671,5.336011,38.68746,11.378731,20.939484,10.1869,13.184672,8.737097,8.357641,7.1942487,5.831119,4.473433,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201105021804.wav,0.030557219515141752,0.020201968,1785.9395114443175,3660.55826629988,2421.985870046714,-397.75934,179.53052,19.176374,5.1518517,-3.5243,0.10542756,10.325125,-3.6878567,3.9378102,0.39021757,5.91167,-1.5579511,-0.9197889,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201105151450.wav,0.1302178485576923,0.0047189784,4875.076758965024,5884.597329227366,11572.108999399039,-498.004,96.86052,12.495685,19.348,14.11132,10.019395,9.646133,3.7917361,4.7480345,1.594236,1.710332,-1.8734396,-1.2075304,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201106111136.wav,0.010200286580023364,0.056564964,1059.8070617602893,2844.6893496970633,1363.0819445458528,-404.60162,144.08334,54.27477,13.28162,21.737309,32.880222,29.16712,17.919565,8.434858,7.524382,9.296592,7.6472845,2.6202102,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201106141148.wav,0.06658246440272178,0.013691684,3151.602171068905,4994.616822560094,6552.041429088962,-455.60608,129.82196,4.3479466,30.510632,18.733839,15.583382,22.80343,3.4843853,13.677577,-3.5241168,9.782156,-3.7783878,5.889422,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201106151236.wav,0.17261689598880597,0.017540058,5722.683888216582,6045.005889541515,13071.939861240671,-479.66095,71.60093,15.778143,18.086346,15.97379,8.462559,7.417221,5.1605463,2.4160554,0.92378366,-0.16533004,-0.8260465,-1.5184087,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201106210943.wav,0.03877960689484127,0.04788227,3430.1768109324435,4883.413807685503,8105.157470703125,-342.14572,93.20582,6.011848,39.227375,12.388433,21.835802,9.952263,14.5919,10.947513,10.674465,9.569917,8.549311,8.38941,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201106221418.wav,0.04521290355960265,0.022438794,2538.62389108619,4310.778014645874,5526.76039942053,-459.18707,116.9461,13.23611,27.067917,12.273948,15.927386,11.042681,12.3399515,16.44631,12.332628,15.116667,9.919654,9.943404,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201106221450.wav,0.032935702923646906,0.025813127,1581.3538224316123,3899.2586021330017,2366.8764094716494,-508.71475,92.11252,62.60548,43.249344,35.420994,28.36513,20.408516,15.102316,11.597176,7.9239655,4.69849,2.5316975,0.8863297,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201108011112.wav,0.007596199972587719,0.036692325,1009.0566018520681,3722.207945611965,325.64247532894734,-496.09695,57.085125,51.7496,44.229805,35.95671,28.172806,21.730074,16.99668,13.85559,11.856404,10.4657,9.2609825,7.9985743,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201108011114.wav,0.008259377284356726,0.025232466,1136.4400803818942,3994.415539674254,360.77559621710526,-520.60913,63.10007,55.80014,46.003002,35.795654,26.837822,20.120926,15.785796,13.286512,11.775444,10.516384,9.139519,7.5917063,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201108011115.wav,0.006693879066154971,0.03236865,1004.5118011789516,3729.9740737231123,306.87962582236844,-519.0233,63.278976,56.317013,46.689354,36.512444,27.55787,20.823586,16.454838,13.937483,12.454082,11.266895,9.962007,8.456824,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201108011118.wav,0.00521761353252924,0.049578846,827.7361300718379,3320.7767151459507,252.16514185855263,-509.0764,62.500565,56.39567,47.968487,38.761524,30.296986,23.539267,18.751308,15.65452,13.648273,12.125694,10.646693,9.021601,normal
c:\Users\vivek\OneDrive\Documents\Data\murmur\201101051104.wav,0.12251333530515666,0.010017872,2943.43202984838,4822.640130172366,6571.815526578818,-555.53815,103.280426,11.397176,29.016253,31.980762,18.449356,19.62207,14.3758745,10.860903,9.18209,8.475575,10.879774,9.470427,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201101051108.wav,0.28151390135443866,0.0061646323,5393.218992447823,5639.397645271773,11989.49634362761,-586.17474,70.845345,-14.332103,9.108286,16.77523,5.81016,8.817472,3.8956225,3.6230335,4.585159,5.253559,7.347705,6.6190495,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201101051114.wav,0.01529926668570496,0.045509536,1753.1228601442815,3769.6969523402695,3493.3827054095955,-406.60965,99.962875,13.073137,26.39855,34.363346,19.953835,21.342445,18.093622,12.280087,14.166534,13.2606325,15.864337,13.437176,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201101180902.wav,0.014246116296897546,0.06759061,698.6772415659307,2790.0630500531583,381.88032670454544,-468.3558,43.268097,38.55682,33.826847,29.946648,26.671751,23.665922,21.005186,18.802067,16.967161,15.369811,13.999652,12.855818,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201102051443.wav,0.023573687287414966,0.024912165,1931.2165860946134,3976.66736906985,3607.8369140625,-409.0629,140.94435,14.586424,36.493496,29.842657,16.100515,16.901157,4.73616,12.011304,5.2229457,4.8160324,0.47795197,1.1747288,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201102052338.wav,0.02219666156572165,0.023061447,1459.806566716864,3487.718454413942,1950.5030681177514,-444.21964,135.33846,44.755196,7.880808,20.004192,29.14149,21.073141,10.198926,4.8790436,4.8503456,6.3444586,4.977772,0.53633064,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201103291548.wav,0.004156805448222565,0.09597242,379.6157262910787,2087.312418965284,113.02435519706337,-487.22827,59.396114,52.20676,44.90106,38.58223,33.229332,28.510681,24.671041,21.745167,19.25403,16.82674,14.691362,13.127237,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201104241315.wav,0.029595129268685568,0.019681307,2010.844745479944,4064.549656322693,3523.731097978415,-434.19037,150.10161,22.309786,19.201488,18.45276,13.197927,16.346924,1.2499143,3.3197525,2.8369555,5.710912,4.025898,3.124494,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201104291843.wav,0.0970470721905048,0.0055028354,4127.280828171549,5661.143439980926,9036.543273925781,-474.3198,113.14035,-1.6384028,28.108097,14.721187,10.106808,16.791538,0.14319038,10.676514,-4.5762644,8.140037,-4.644245,3.1682124,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201106141148.wav,0.06465926708414396,0.013676427,3120.782206201244,4972.75824455954,6466.705773498297,-454.79718,130.69519,4.190875,30.108644,18.53012,15.700461,22.941267,3.6305716,13.595304,-3.6261609,9.720335,-3.746399,6.005084,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222221.wav,0.007422017772295322,0.052702546,892.8051217542272,3360.9625733248836,289.15565892269734,-492.3049,61.42826,56.22138,48.75438,40.364746,32.28736,25.400433,20.08419,16.231552,13.423779,11.170558,9.091898,7.0027204,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222223.wav,0.006651761239035088,0.0717084,563.1440326486841,2512.0709703009757,225.12271278782896,-483.40845,73.671524,66.5213,56.573956,45.658356,35.4283,27.052826,20.927345,16.769398,13.909699,11.62918,9.419449,7.0374694,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222224.wav,0.005425347222222222,0.059086956,773.843239343239,3170.1869803153513,265.07247121710526,-491.12546,60.795403,55.200737,47.799732,39.504227,31.529394,24.77173,19.656673,16.099762,13.684033,11.890248,10.298525,8.676298,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222226.wav,0.0064033374451754384,0.059016887,793.7089940505211,3156.0546553058466,275.05204050164474,-489.23502,63.27065,57.394463,49.42645,40.564663,32.10516,25.022741,19.74222,16.114788,13.655524,11.788695,10.070082,8.268051,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222227.wav,0.00711148802997076,0.049654122,814.8545577049225,3223.671157030906,273.2890881990132,-489.36203,63.754425,57.650013,49.388958,40.169098,31.448856,24.228619,18.910479,15.330141,12.942642,11.133662,9.426137,7.5755935,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222231.wav,0.005508155153508772,0.07107785,672.3441360078259,2841.280453857615,228.5226922286184,-487.23923,63.954586,58.43269,50.87594,42.30733,34.009464,26.858555,21.211615,16.991758,13.834786,11.31746,9.106074,7.0227723,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222232.wav,0.007223564281798245,0.07300786,752.4506317468891,2907.7142349293626,288.27418277138156,-485.56223,66.52925,60.588936,52.595863,43.56156,34.781425,27.133121,21.03904,16.40694,12.869221,9.999805,7.47796,5.1453166,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222233.wav,0.00570589478252924,0.09559934,529.2621475649618,2345.633481918066,218.63756681743422,-480.10965,72.37495,66.50288,58.007637,48.335457,38.807125,30.34138,23.36891,17.892775,13.636053,10.220614,7.317794,4.726772,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222235.wav,0.0053082739400584795,0.059507202,743.5062288554827,3092.110076694534,243.16149259868422,-490.7488,60.307423,54.94837,47.799854,39.787643,32.052162,25.441751,20.331812,16.642199,13.983775,11.906697,10.045206,8.209801,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222236.wav,0.005779422514619883,0.04980336,801.5018830226737,3230.5436945999313,259.81509560032896,-491.51443,60.02525,54.495213,47.27185,39.16083,31.437077,24.926374,19.97353,16.443043,13.885571,11.807297,9.845835,7.852532,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222237.wav,0.005181206597222222,0.06375525,668.2590190772762,2890.2612516619497,236.8337530838816,-489.44534,62.04793,56.86167,49.66383,41.539642,33.65414,26.811895,21.413101,17.407383,14.436372,12.05089,9.901358,7.8088765,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222238.wav,0.0043759708516081875,0.07435294,534.5714427435443,2583.3794468625774,183.88222142269737,-487.44815,63.825897,58.74937,51.504482,43.350124,35.408123,28.493233,22.989769,18.829178,15.643558,12.998725,10.564148,8.180882,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222242.wav,0.0057594343932748536,0.08359421,703.7395954293413,2854.303904814751,253.89661287006578,-474.18814,62.304295,57.406513,50.63835,42.967163,35.3552,28.57238,22.987642,18.608587,15.180408,12.3873825,9.960642,7.736852,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222243.wav,0.0071664553636695905,0.12272217,719.1371168039773,2696.757048883557,300.48892372532896,-459.94543,68.638466,61.306618,53.388718,44.961388,36.872887,29.596666,23.43376,18.536057,14.861478,11.950245,9.276129,6.8771157,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222245.wav,0.0085799010873538,0.026477411,1207.5963882202395,4055.0491548725636,467.9064298930921,-542.1756,72.931046,61.724854,48.02117,35.04214,24.92713,18.292967,14.806933,13.420419,12.709927,11.503723,9.562043,7.4525595,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222246.wav,0.004425227293494152,0.059446406,739.9980490694138,3101.3159836239192,228.4912109375,-490.33023,59.22634,54.221325,47.397636,39.694885,32.217384,25.803522,20.83258,17.225237,14.6220045,12.566609,10.71165,8.878746,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222248.wav,0.005357530381944444,0.062469132,666.5913155484557,2872.1764292235393,228.9319490131579,-487.806,61.346046,56.42663,49.60394,41.859974,34.306767,27.744877,22.551495,18.653402,15.719465,13.341529,11.182758,9.067501,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222251.wav,0.00497347290752924,0.06912738,656.1167411104568,2768.2495969285624,241.83927837171052,-474.07904,56.459675,52.485573,46.984993,40.64689,34.240948,28.432674,23.615576,19.87271,17.006641,14.716943,12.706198,10.781818,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222252.wav,0.0037798965186403508,0.08284594,531.2688817435375,2436.1790251395773,213.72648540296052,-474.43402,60.598667,56.156857,50.24161,43.374783,36.472515,30.249998,25.149483,21.210276,18.215113,15.819319,13.7021885,11.657015,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222253.wav,0.0029439647295321637,0.09563658,369.2387570290827,2067.145356239974,142.76765522203948,-459.9141,59.53187,55.57054,50.202904,43.827538,37.274113,31.177706,25.997007,21.876575,18.707548,16.220554,14.12388,12.181108,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222255.wav,0.003799170778508772,0.074034974,559.0467608350381,2597.904864745732,182.24519428453948,-472.2808,55.52708,52.144966,47.101345,41.121593,34.953674,29.212046,24.278522,20.277317,17.119513,14.593238,12.464039,10.552296,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222256.wav,0.005274722450657895,0.04116379,868.8527189376039,3432.4168036116625,283.26865748355266,-476.7564,50.1385,46.406265,41.458397,35.682785,29.856663,24.55382,20.165718,16.761658,14.171099,12.114408,10.344021,8.700538,murmur
c:\Users\vivek\OneDrive\Documents\Data\murmur\201108222258.wav,0.003822728207236842,0.06176714,558.6775944210453,2665.6861779000014,182.90630139802633,-472.81183,55.58079,51.861435,46.577953,40.474392,34.23435,28.494848,23.664204,19.838465,16.876156,14.510918,12.478401,10.5999775,murmur
